member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,checkout_id,book_id,checkout_date,return_date,total_checkouts,title,author,genre,pages,publication_year,publisher
1001,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05,9025.0,525.0,2024-10-24,2024-11-07,1,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books
1002,Fares,Saleh,9.0,Maadi,Active,,9013.0,501.0,2024-02-16,2024-02-29,3,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1002,Fares,Saleh,9.0,Maadi,Active,,9095.0,507.0,2024-06-25,2024-07-07,3,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9051.0,513.0,2025-07-22,2025-08-18,10,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9068.0,501.0,2025-11-14,2025-12-03,10,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9074.0,501.0,2024-06-19,2024-07-06,10,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9071.0,503.0,2024-03-25,2024-04-09,10,The Lantern Maker,Adel Roushdy,Historical,259.0,,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9103.0,513.0,2025-09-04,2025-09-25,10,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9050.0,521.0,2025-08-21,,10,A Garden of Equations,Karim Elwy,Science,211.0,2024.0,Cairo Young Readers
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9048.0,519.0,2024-12-03,2025-01-01,10,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9088.0,519.0,2025-09-17,2025-10-03,10,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9018.0,522.0,2025-06-12,2025-06-24,10,The Puzzle Merchant,Karim Elwy,Mystery,104.0,2016.0,Cairo Young Readers
1004,Fares,Wahba,7.0,Maadi,Inactive,2024-10-09,,,,,0,,,,,,
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9043.0,505.0,2024-01-26,2024-02-04,4,Letters to the Nile,Aya Hafez,Historical,216.0,2024.0,Oasis Books
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9066.0,513.0,2025-07-15,2025-07-31,4,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9029.0,507.0,2025-03-07,2025-03-29,4,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1006,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12,9058.0,501.0,2025-03-18,2025-04-09,1,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1007,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,9072.0,513.0,2025-03-05,2025-04-01,4,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1007,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,9047.0,507.0,2024-10-11,2024-10-24,4,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1007,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,9038.0,506.0,2024-07-15,2024-08-12,4,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9005.0,513.0,2025-04-20,2025-04-29,19,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9001.0,501.0,2025-08-23,2025-08-28,19,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9091.0,525.0,2024-06-03,2024-06-12,19,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9053.0,516.0,2025-07-20,2025-08-08,19,The Beekeeper's Almanac,Hoda Bakry,Nature,241.0,2010.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9021.0,501.0,2025-05-22,2025-05-29,19,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9007.0,507.0,2025-03-15,2025-03-31,19,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9073.0,513.0,2025-02-13,,19,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9067.0,507.0,2024-01-05,2024-01-29,19,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9093.0,507.0,2025-03-22,2025-04-19,19,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9064.0,502.0,2025-06-12,2025-06-21,19,Desert Compass,Amina Darwish,Adventure,109.0,2018.0,Delta House
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9077.0,514.0,2024-07-28,2024-08-12,19,The Robot in Row Nine,Galal Mounir,Science Fiction,328.0,2023.0,Cairo Young Readers
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9080.0,501.0,2024-03-20,2024-04-18,19,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9037.0,509.0,2024-01-02,2024-01-22,19,Marbles and Mirrors,Diaa Sultan,Mystery,221.0,2011.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9076.0,529.0,2025-12-12,2025-12-20,19,Riddles of the Red Sea,Sara Tantawy,Mystery,298.0,,Cairo Young Readers
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9078.0,521.0,2024-09-21,2024-10-12,19,A Garden of Equations,Karim Elwy,Science,211.0,2024.0,Cairo Young Readers
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9045.0,520.0,2024-05-28,,19,The Copper Telescope,Jasmine Wahdan,Science Fiction,136.0,2009.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9079.0,520.0,2025-12-27,2026-01-05,19,The Copper Telescope,Jasmine Wahdan,Science Fiction,136.0,2009.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9098.0,525.0,2024-12-15,2024-12-31,19,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,9084.0,511.0,2024-06-27,2024-07-22,19,Winter in Alexandria,Farida Anwar,Historical,117.0,2016.0,Nile Press
1009,Hassan,Saleh,6.0,Maadi,Active,2025-04-25,9010.0,513.0,2025-07-22,2025-08-16,2,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9082.0,528.0,2025-11-11,2025-11-18,18,The Glass Beehive,Mona Kholoussy,Nature,114.0,2010.0,Delta House
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9012.0,501.0,2025-02-17,,18,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9056.0,519.0,2025-07-11,2025-07-27,18,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9036.0,515.0,2024-11-27,2024-12-24,18,Songs of the Oasis,Hoda Bakry,Poetry,316.0,2022.0,Cairo Young Readers
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9100.0,513.0,2025-08-27,2025-09-22,18,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9024.0,507.0,2025-01-27,2025-02-09,18,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9008.0,520.0,2025-08-11,,18,The Copper Telescope,Jasmine Wahdan,Science Fiction,136.0,2009.0,Oasis Books
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9015.0,507.0,2025-09-02,2025-09-14,18,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9049.0,514.0,2025-09-08,,18,The Robot in Row Nine,Galal Mounir,Science Fiction,328.0,2023.0,Cairo Young Readers
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9069.0,505.0,2024-06-14,2024-07-10,18,Letters to the Nile,Aya Hafez,Historical,216.0,2024.0,Oasis Books
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9102.0,502.0,2024-10-05,,18,Desert Compass,Amina Darwish,Adventure,109.0,2018.0,Delta House
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9022.0,507.0,2025-11-14,2025-12-03,18,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9089.0,507.0,2025-06-22,2025-07-22,18,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9062.0,520.0,2024-07-28,2024-08-26,18,The Copper Telescope,Jasmine Wahdan,Science Fiction,136.0,2009.0,Oasis Books
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9041.0,506.0,2025-02-22,2025-03-19,18,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9060.0,527.0,2024-05-20,2024-05-28,18,Notes from the Delta,Mona Kholoussy,Nature,328.0,2017.0,Delta House
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9042.0,509.0,2024-02-28,,18,Marbles and Mirrors,Diaa Sultan,Mystery,221.0,2011.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9014.0,519.0,2024-06-28,2024-07-20,18,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1011,Menna,Halim,8.0,Maadi,Active,2024-04-22,9032.0,501.0,2024-11-24,2024-12-11,2,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1011,Menna,Halim,8.0,Maadi,Active,2024-04-22,9083.0,516.0,2025-10-02,2025-10-09,2,The Beekeeper's Almanac,Hoda Bakry,Nature,241.0,2010.0,Nile Press
1012,Ali,Hegazy,7.0,Maadi,Active,2025-12-08,,,,,1,,,,,,
1013,Ziad,Fouad,,Maadi,Active,2025-06-27,9004.0,519.0,2025-07-27,2025-08-16,2,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1013,Ziad,Fouad,,Maadi,Active,2025-06-27,9054.0,510.0,2024-11-21,,2,The Missing Metronome,Diaa Sultan,Mystery,134.0,2013.0,Cairo Young Readers
1014,Habiba,Nabil,6.0,Maadi,Active,2024-07-09,9019.0,513.0,2024-03-06,2024-03-23,1,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1015,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,9034.0,511.0,2025-10-13,,3,Winter in Alexandria,Farida Anwar,Historical,117.0,2016.0,Nile Press
1015,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,9003.0,501.0,2024-08-04,2024-08-13,3,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1015,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,9055.0,525.0,2025-08-08,2025-08-27,3,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9020.0,506.0,2024-04-15,2024-05-04,7,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9040.0,529.0,2025-01-23,2025-02-11,7,Riddles of the Red Sea,Sara Tantawy,Mystery,298.0,,Cairo Young Readers
